table_type,table_no,effective_date,trading_date,code,currency_name_pl,mid,bid,ask
A,001/A/NBP/2026,2026-01-02,,AUD,dolar australijski,2.4092,,
A,001/A/NBP/2026,2026-01-02,,BRL,real (Brazylia),0.6565,,
A,001/A/NBP/2026,2026-01-02,,CAD,dolar kanadyjski,2.6212,,
A,001/A/NBP/2026,2026-01-02,,CHF,frank szwajcarski,4.5314,,
A,001/A/NBP/2026,2026-01-02,,CLP,peso chilijskie,0.003996,,
A,001/A/NBP/2026,2026-01-02,,CNY,yuan renminbi (Chiny),0.514,,
A,001/A/NBP/2026,2026-01-02,,CZK,korona czeska,0.1743,,
A,001/A/NBP/2026,2026-01-02,,DKK,korona duńska,0.5644,,
A,001/A/NBP/2026,2026-01-02,,EUR,euro,4.2156,,
A,001/A/NBP/2026,2026-01-02,,GBP,funt szterling,4.8391,,
A,001/A/NBP/2026,2026-01-02,,HKD,dolar Hongkongu,0.4615,,
A,001/A/NBP/2026,2026-01-02,,HUF,forint (Węgry),0.010987,,
A,001/A/NBP/2026,2026-01-02,,IDR,rupia indonezyjska,0.00021509,,
A,001/A/NBP/2026,2026-01-02,,ILS,nowy izraelski szekel,1.1325,,
A,001/A/NBP/2026,2026-01-02,,INR,rupia indyjska,0.039874,,
A,001/A/NBP/2026,2026-01-02,,ISK,korona islandzka,0.028639,,
A,001/A/NBP/2026,2026-01-02,,JPY,jen (Japonia),0.02292,,
A,001/A/NBP/2026,2026-01-02,,KRW,won południowokoreański,0.002488,,
A,001/A/NBP/2026,2026-01-02,,MXN,peso meksykańskie,0.2005,,
A,001/A/NBP/2026,2026-01-02,,MYR,ringgit (Malezja),0.8871,,
A,001/A/NBP/2026,2026-01-02,,NOK,korona norweska,0.357,,
A,001/A/NBP/2026,2026-01-02,,NZD,dolar nowozelandzki,2.075,,
A,001/A/NBP/2026,2026-01-02,,PHP,peso filipińskie,0.0611,,
A,001/A/NBP/2026,2026-01-02,,RON,lej rumuński,0.827,,
A,001/A/NBP/2026,2026-01-02,,SEK,korona szwedzka,0.3896,,
A,001/A/NBP/2026,2026-01-02,,SGD,dolar singapurski,2.7966,,
A,001/A/NBP/2026,2026-01-02,,THB,bat (Tajlandia),0.1145,,
A,001/A/NBP/2026,2026-01-02,,TRY,lira turecka,0.0835,,
A,001/A/NBP/2026,2026-01-02,,UAH,hrywna (Ukraina),0.085,,
A,001/A/NBP/2026,2026-01-02,,USD,dolar amerykański,3.5963,,
A,001/A/NBP/2026,2026-01-02,,XDR,SDR (MFW),4.9562,,
A,001/A/NBP/2026,2026-01-02,,ZAR,rand (Republika Południowej Afryki),0.2175,,
C,001/C/NBP/2026,2026-01-02,2025-12-31,AUD,dolar australijski,,2.383,2.4312
C,001/C/NBP/2026,2026-01-02,2025-12-31,CAD,dolar kanadyjski,,2.6025,2.6551
C,001/C/NBP/2026,2026-01-02,2025-12-31,CHF,frank szwajcarski,,4.4936,4.5844
C,001/C/NBP/2026,2026-01-02,2025-12-31,CZK,korona czeska,,0.1729,0.1763
C,001/C/NBP/2026,2026-01-02,2025-12-31,DKK,korona duńska,,0.5602,0.5716
C,001/C/NBP/2026,2026-01-02,2025-12-31,EUR,euro,,4.1844,4.269
C,001/C/NBP/2026,2026-01-02,2025-12-31,GBP,funt szterling,,4.7915,4.8883
C,001/C/NBP/2026,2026-01-02,2025-12-31,HUF,forint (Węgry),,0.010858,0.011078
C,001/C/NBP/2026,2026-01-02,2025-12-31,JPY,jen (Japonia),,0.022764,0.023224
C,001/C/NBP/2026,2026-01-02,2025-12-31,NOK,korona norweska,,0.3541,0.3613
C,001/C/NBP/2026,2026-01-02,2025-12-31,SEK,korona szwedzka,,0.3869,0.3947
C,001/C/NBP/2026,2026-01-02,2025-12-31,USD,dolar amerykański,,3.5656,3.6376
C,001/C/NBP/2026,2026-01-02,2025-12-31,XDR,SDR (MFW),,4.9196,5.019
A,002/A/NBP/2026,2026-01-05,,AUD,dolar australijski,2.4062,,
A,002/A/NBP/2026,2026-01-05,,BRL,real (Brazylia),0.6647,,
A,002/A/NBP/2026,2026-01-05,,CAD,dolar kanadyjski,2.6163,,
A,002/A/NBP/2026,2026-01-05,,CHF,frank szwajcarski,4.5263,,
A,002/A/NBP/2026,2026-01-05,,CLP,peso chilijskie,0.003978,,
A,002/A/NBP/2026,2026-01-05,,CNY,yuan renminbi (Chiny),0.5161,,
A,002/A/NBP/2026,2026-01-05,,CZK,korona czeska,0.1742,,
A,002/A/NBP/2026,2026-01-05,,DKK,korona duńska,0.5637,,
A,002/A/NBP/2026,2026-01-05,,EUR,euro,4.211,,
A,002/A/NBP/2026,2026-01-05,,GBP,funt szterling,4.8458,,
A,002/A/NBP/2026,2026-01-05,,HKD,dolar Hongkongu,0.4629,,
A,002/A/NBP/2026,2026-01-05,,HUF,forint (Węgry),0.010955,,
A,002/A/NBP/2026,2026-01-05,,IDR,rupia indonezyjska,0.00021532,,
A,002/A/NBP/2026,2026-01-05,,ILS,nowy izraelski szekel,1.1346,,
A,002/A/NBP/2026,2026-01-05,,INR,rupia indyjska,0.039925,,
A,002/A/NBP/2026,2026-01-05,,ISK,korona islandzka,0.028569,,
A,002/A/NBP/2026,2026-01-05,,JPY,jen (Japonia),0.022969,,
A,002/A/NBP/2026,2026-01-05,,KRW,won południowokoreański,0.002491,,
A,002/A/NBP/2026,2026-01-05,,MXN,peso meksykańskie,0.2001,,
A,002/A/NBP/2026,2026-01-05,,MYR,ringgit (Malezja),0.8851,,
A,002/A/NBP/2026,2026-01-05,,NOK,korona norweska,0.3572,,
A,002/A/NBP/2026,2026-01-05,,NZD,dolar nowozelandzki,2.0726,,
A,002/A/NBP/2026,2026-01-05,,PHP,peso filipińskie,0.061,,
A,002/A/NBP/2026,2026-01-05,,RON,lej rumuński,0.8272,,
A,002/A/NBP/2026,2026-01-05,,SEK,korona szwedzka,0.3905,,
A,002/A/NBP/2026,2026-01-05,,SGD,dolar singapurski,2.7992,,
A,002/A/NBP/2026,2026-01-05,,THB,bat (Tajlandia),0.1151,,
A,002/A/NBP/2026,2026-01-05,,TRY,lira turecka,0.0837,,
A,002/A/NBP/2026,2026-01-05,,UAH,hrywna (Ukraina),0.0849,,
A,002/A/NBP/2026,2026-01-05,,USD,dolar amerykański,3.6045,,
A,002/A/NBP/2026,2026-01-05,,XDR,SDR (MFW),4.9508,,
A,002/A/NBP/2026,2026-01-05,,ZAR,rand (Republika Południowej Afryki),0.2189,,
C,002/C/NBP/2026,2026-01-05,2026-01-02,AUD,dolar australijski,,2.3788,2.4268
C,002/C/NBP/2026,2026-01-05,2026-01-02,CAD,dolar kanadyjski,,2.5864,2.6386
C,002/C/NBP/2026,2026-01-05,2026-01-02,CHF,frank szwajcarski,,4.487,4.5776
C,002/C/NBP/2026,2026-01-05,2026-01-02,CZK,korona czeska,,0.1724,0.1758
C,002/C/NBP/2026,2026-01-05,2026-01-02,DKK,korona duńska,,0.5581,0.5693
C,002/C/NBP/2026,2026-01-05,2026-01-02,EUR,euro,,4.1686,4.2528
C,002/C/NBP/2026,2026-01-05,2026-01-02,GBP,funt szterling,,4.7858,4.8824
C,002/C/NBP/2026,2026-01-05,2026-01-02,HUF,forint (Węgry),,0.01087,0.01109
C,002/C/NBP/2026,2026-01-05,2026-01-02,JPY,jen (Japonia),,0.02266,0.023118
C,002/C/NBP/2026,2026-01-05,2026-01-02,NOK,korona norweska,,0.3533,0.3605
C,002/C/NBP/2026,2026-01-05,2026-01-02,SEK,korona szwedzka,,0.3859,0.3937
C,002/C/NBP/2026,2026-01-05,2026-01-02,USD,dolar amerykański,,3.5541,3.6259
C,002/C/NBP/2026,2026-01-05,2026-01-02,XDR,SDR (MFW),,4.901,5.0
A,003/A/NBP/2026,2026-01-07,,AUD,dolar australijski,2.4281,,
A,003/A/NBP/2026,2026-01-07,,BRL,real (Brazylia),0.6708,,
A,003/A/NBP/2026,2026-01-07,,CAD,dolar kanadyjski,2.6087,,
A,003/A/NBP/2026,2026-01-07,,CHF,frank szwajcarski,4.5279,,
A,003/A/NBP/2026,2026-01-07,,CLP,peso chilijskie,0.004029,,
A,003/A/NBP/2026,2026-01-07,,CNY,yuan renminbi (Chiny),0.5153,,
A,003/A/NBP/2026,2026-01-07,,CZK,korona czeska,0.1738,,
A,003/A/NBP/2026,2026-01-07,,DKK,korona duńska,0.5635,,
A,003/A/NBP/2026,2026-01-07,,EUR,euro,4.2105,,
A,003/A/NBP/2026,2026-01-07,,GBP,funt szterling,4.8629,,
A,003/A/NBP/2026,2026-01-07,,HKD,dolar Hongkongu,0.4627,,
A,003/A/NBP/2026,2026-01-07,,HUF,forint (Węgry),0.010941,,
A,003/A/NBP/2026,2026-01-07,,IDR,rupia indonezyjska,0.00021481,,
A,003/A/NBP/2026,2026-01-07,,ILS,nowy izraelski szekel,1.1338,,
A,003/A/NBP/2026,2026-01-07,,INR,rupia indyjska,0.040091,,
A,003/A/NBP/2026,2026-01-07,,ISK,korona islandzka,0.028604,,
A,003/A/NBP/2026,2026-01-07,,JPY,jen (Japonia),0.023031,,
A,003/A/NBP/2026,2026-01-07,,KRW,won południowokoreański,0.002491,,
A,003/A/NBP/2026,2026-01-07,,MXN,peso meksykańskie,0.2004,,
A,003/A/NBP/2026,2026-01-07,,MYR,ringgit (Malezja),0.888,,
A,003/A/NBP/2026,2026-01-07,,NOK,korona norweska,0.358,,
A,003/A/NBP/2026,2026-01-07,,NZD,dolar nowozelandzki,2.0855,,
A,003/A/NBP/2026,2026-01-07,,PHP,peso filipińskie,0.0607,,
A,003/A/NBP/2026,2026-01-07,,RON,lej rumuński,0.8272,,
A,003/A/NBP/2026,2026-01-07,,SEK,korona szwedzka,0.3915,,
A,003/A/NBP/2026,2026-01-07,,SGD,dolar singapurski,2.811,,
A,003/A/NBP/2026,2026-01-07,,THB,bat (Tajlandia),0.1152,,
A,003/A/NBP/2026,2026-01-07,,TRY,lira turecka,0.0836,,
A,003/A/NBP/2026,2026-01-07,,UAH,hrywna (Ukraina),0.0844,,
A,003/A/NBP/2026,2026-01-07,,USD,dolar amerykański,3.6035,,
A,003/A/NBP/2026,2026-01-07,,XDR,SDR (MFW),4.9503,,
A,003/A/NBP/2026,2026-01-07,,ZAR,rand (Republika Południowej Afryki),0.2193,,
B,001/B/NBP/2026,2026-01-07,,AED,dirham ZEA (Zjednoczone Emiraty Arabskie),0.981,,
B,001/B/NBP/2026,2026-01-07,,AFN,afgani (Afganistan),0.05442,,
B,001/B/NBP/2026,2026-01-07,,ALL,lek (Albania),0.043582,,
B,001/B/NBP/2026,2026-01-07,,AMD,dram (Armenia),0.009445,,
B,001/B/NBP/2026,2026-01-07,,AOA,kwanza (Angola),0.003921,,
B,001/B/NBP/2026,2026-01-07,,ARS,peso argentyńskie,0.002456,,
B,001/B/NBP/2026,2026-01-07,,AWG,florin arubański,1.9908,,
B,001/B/NBP/2026,2026-01-07,,AZN,manat azerbejdżański,2.1195,,
B,001/B/NBP/2026,2026-01-07,,BAM,wymienialna marka (Bośnia i Hercegowina),2.1504,,
B,001/B/NBP/2026,2026-01-07,,BBD,dolar barbadoski,1.789,,
B,001/B/NBP/2026,2026-01-07,,BDT,taka (Bangladesz),0.029486,,
B,001/B/NBP/2026,2026-01-07,,BHD,dinar bahrajski,9.5574,,
B,001/B/NBP/2026,2026-01-07,,BIF,frank burundyjski,0.001218,,
B,001/B/NBP/2026,2026-01-07,,BND,dolar brunejski,2.8123,,
B,001/B/NBP/2026,2026-01-07,,BOB,boliwiano (Boliwia),0.5203,,
B,001/B/NBP/2026,2026-01-07,,BSD,dolar bahamski,3.6035,,
B,001/B/NBP/2026,2026-01-07,,BWP,pula (Botswana),0.27,,
B,001/B/NBP/2026,2026-01-07,,BYN,rubel białoruski,1.2255,,
B,001/B/NBP/2026,2026-01-07,,BZD,dolar belizeński,1.7916,,
B,001/B/NBP/2026,2026-01-07,,CDF,frank kongijski (Dem. Republika Konga),0.001569,,
B,001/B/NBP/2026,2026-01-07,,COP,peso kolumbijskie,0.000967,,
B,001/B/NBP/2026,2026-01-07,,CRC,colon kostarykański,0.007248,,
B,001/B/NBP/2026,2026-01-07,,CUP,peso kubańskie,3.6035,,
B,001/B/NBP/2026,2026-01-07,,CVE,escudo Zielonego Przylądka,0.038,,
B,001/B/NBP/2026,2026-01-07,,DJF,frank Dżibuti,0.020234,,
B,001/B/NBP/2026,2026-01-07,,DOP,peso dominikańskie,0.0568,,
B,001/B/NBP/2026,2026-01-07,,DZD,dinar algierski,0.027739,,
B,001/B/NBP/2026,2026-01-07,,EGP,funt egipski,0.0763,,
B,001/B/NBP/2026,2026-01-07,,ERN,nakfa (Erytrea),0.239,,
B,001/B/NBP/2026,2026-01-07,,ETB,birr etiopski,0.0231,,
B,001/B/NBP/2026,2026-01-07,,FJD,dolar Fidżi,1.5866,,
B,001/B/NBP/2026,2026-01-07,,GEL,lari (Gruzja),1.3365,,
B,001/B/NBP/2026,2026-01-07,,GHS,Ghana cedi ,0.3379,,
B,001/B/NBP/2026,2026-01-07,,GIP,funt gibraltarski,4.8629,,
B,001/B/NBP/2026,2026-01-07,,GMD,dalasi (Gambia),0.0488,,
B,001/B/NBP/2026,2026-01-07,,GNF,frank gwinejski,0.000412,,
B,001/B/NBP/2026,2026-01-07,,GTQ,quetzal (Gwatemala),0.4701,,
B,001/B/NBP/2026,2026-01-07,,GYD,dolar gujański,0.017223,,
B,001/B/NBP/2026,2026-01-07,,HNL,lempira (Honduras),0.1367,,
B,001/B/NBP/2026,2026-01-07,,HTG,gourde (Haiti),0.0275,,
B,001/B/NBP/2026,2026-01-07,,IQD,dinar iracki,0.002751,,
B,001/B/NBP/2026,2026-01-07,,IRR,rial irański,8.6e-05,,
B,001/B/NBP/2026,2026-01-07,,JMD,dolar jamajski,0.0228,,
B,001/B/NBP/2026,2026-01-07,,JOD,dinar jordański,5.0821,,
B,001/B/NBP/2026,2026-01-07,,KES,szyling kenijski,0.027931,,
B,001/B/NBP/2026,2026-01-07,,KGS,som (Kirgistan),0.0412,,
B,001/B/NBP/2026,2026-01-07,,KHR,riel (Kambodża),0.000897,,
B,001/B/NBP/2026,2026-01-07,,KMF,frank Komorów,0.008557,,
B,001/B/NBP/2026,2026-01-07,,KWD,dinar kuwejcki,11.7941,,
B,001/B/NBP/2026,2026-01-07,,KZT,tenge (Kazachstan),0.007068,,
B,001/B/NBP/2026,2026-01-07,,LAK,kip (Laos),0.000167,,
B,001/B/NBP/2026,2026-01-07,,LBP,funt libański,4e-05,,
B,001/B/NBP/2026,2026-01-07,,LKR,rupia lankijska,0.011622,,
B,001/B/NBP/2026,2026-01-07,,LRD,dolar liberyjski,0.0201,,
B,001/B/NBP/2026,2026-01-07,,LSL,loti (Lesotho),0.2196,,
B,001/B/NBP/2026,2026-01-07,,LYD,dinar libijski,0.6658,,
B,001/B/NBP/2026,2026-01-07,,MAD,dirham marokański,0.3913,,
B,001/B/NBP/2026,2026-01-07,,MDL,lej Mołdawii,0.2155,,
B,001/B/NBP/2026,2026-01-07,,MGA,ariary (Madagaskar),0.00078,,
B,001/B/NBP/2026,2026-01-07,,MKD,denar (Macedonia Północna),0.068391,,
B,001/B/NBP/2026,2026-01-07,,MMK,"kyat (Myanmar, Birma)",0.001716,,
B,001/B/NBP/2026,2026-01-07,,MNT,tugrik (Mongolia),0.001012,,
B,001/B/NBP/2026,2026-01-07,,MOP,pataca (Makau),0.4489,,
B,001/B/NBP/2026,2026-01-07,,MRU,ouguiya (Mauretania),0.0899,,
B,001/B/NBP/2026,2026-01-07,,MUR,rupia Mauritiusu,0.0776,,
B,001/B/NBP/2026,2026-01-07,,MVR,rupia (Malediwy),0.2331,,
B,001/B/NBP/2026,2026-01-07,,MWK,kwacha malawijska,0.002078,,
B,001/B/NBP/2026,2026-01-07,,MZN,metical (Mozambik),0.0564,,
B,001/B/NBP/2026,2026-01-07,,NAD,dolar namibijski,0.2196,,
B,001/B/NBP/2026,2026-01-07,,NGN,naira (Nigeria),0.002528,,
B,001/B/NBP/2026,2026-01-07,,NIO,cordoba oro (Nikaragua),0.0979,,
B,001/B/NBP/2026,2026-01-07,,NPR,rupia nepalska,0.025045,,
B,001/B/NBP/2026,2026-01-07,,OMR,rial omański,9.3592,,
B,001/B/NBP/2026,2026-01-07,,PAB,balboa (Panama),3.6035,,
B,001/B/NBP/2026,2026-01-07,,PEN,sol (Peru),1.0717,,
B,001/B/NBP/2026,2026-01-07,,PGK,kina (Papua-Nowa Gwinea),0.8449,,
B,001/B/NBP/2026,2026-01-07,,PKR,rupia pakistańska,0.0129,,
B,001/B/NBP/2026,2026-01-07,,PYG,guarani (Paragwaj),0.000534,,
B,001/B/NBP/2026,2026-01-07,,QAR,rial katarski,0.9885,,
B,001/B/NBP/2026,2026-01-07,,RSD,dinar serbski,0.0359,,
B,001/B/NBP/2026,2026-01-07,,RUB,rubel rosyjski,0.0447,,
B,001/B/NBP/2026,2026-01-07,,RWF,frank rwandyjski,0.002472,,
B,001/B/NBP/2026,2026-01-07,,SAR,rial saudyjski,0.9608,,
B,001/B/NBP/2026,2026-01-07,,SBD,dolar Wysp Salomona,0.4477,,
B,001/B/NBP/2026,2026-01-07,,SCR,rupia seszelska,0.2627,,
B,001/B/NBP/2026,2026-01-07,,SDG,funt sudański,0.006007,,
B,001/B/NBP/2026,2026-01-07,,SLE,leone (Sierra Leone),0.1511,,
B,001/B/NBP/2026,2026-01-07,,SOS,szyling somalijski,0.006316,,
B,001/B/NBP/2026,2026-01-07,,SRD,dolar surinamski,0.094,,
B,001/B/NBP/2026,2026-01-07,,SSP,funt południowosudański,0.000791,,
B,001/B/NBP/2026,2026-01-07,,STN,dobra (Wyspy Świętego Tomasza i Książęca),0.1701,,
B,001/B/NBP/2026,2026-01-07,,SVC,colon salwadorski,0.4116,,
B,001/B/NBP/2026,2026-01-07,,SYP,funt syryjski,0.031183,,
B,001/B/NBP/2026,2026-01-07,,SZL,lilangeni (Eswatini),0.2196,,
B,001/B/NBP/2026,2026-01-07,,TJS,somoni (Tadżykistan),0.3891,,
B,001/B/NBP/2026,2026-01-07,,TMT,nowy manat (Turkmenistan),1.0295,,
B,001/B/NBP/2026,2026-01-07,,TND,dinar tunezyjski,1.2452,,
B,001/B/NBP/2026,2026-01-07,,TOP,pa'anga (Tonga),1.5118,,
B,001/B/NBP/2026,2026-01-07,,TTD,dolar Trynidadu i Tobago,0.5314,,
B,001/B/NBP/2026,2026-01-07,,TWD,nowy dolar tajwański,0.1146,,
B,001/B/NBP/2026,2026-01-07,,TZS,szyling tanzański,0.00145,,
B,001/B/NBP/2026,2026-01-07,,UGX,szyling ugandyjski,0.000999,,
B,001/B/NBP/2026,2026-01-07,,UYU,peso urugwajskie,0.0925,,
B,001/B/NBP/2026,2026-01-07,,UZS,sum (Uzbekistan),0.000301,,
B,001/B/NBP/2026,2026-01-07,,VES,boliwar soberano (Wenezuela),0.0116,,
B,001/B/NBP/2026,2026-01-07,,VND,dong (Wietnam),0.00013714,,
B,001/B/NBP/2026,2026-01-07,,VUV,vatu (Vanuatu),0.030243,,
B,001/B/NBP/2026,2026-01-07,,WST,tala (Samoa),1.3076,,
B,001/B/NBP/2026,2026-01-07,,XAF,frank CFA BEAC,0.006283,,
B,001/B/NBP/2026,2026-01-07,,XCD,dolar wschodniokaraibski,1.3324,,
B,001/B/NBP/2026,2026-01-07,,XCG,gulden karaibski,1.9992,,
B,001/B/NBP/2026,2026-01-07,,XOF,frank CFA BCEAO ,0.006446,,
B,001/B/NBP/2026,2026-01-07,,XPF,frank CFP  ,0.035276,,
B,001/B/NBP/2026,2026-01-07,,YER,rial jemeński,0.015115,,
B,001/B/NBP/2026,2026-01-07,,ZMW,kwacha zambijska,0.1773,,
B,001/B/NBP/2026,2026-01-07,,ZWG,złoto Zimbabwe,0.1379,,
C,003/C/NBP/2026,2026-01-07,2026-01-05,AUD,dolar australijski,,2.3859,2.4341
C,003/C/NBP/2026,2026-01-07,2026-01-05,CAD,dolar kanadyjski,,2.5872,2.6394
C,003/C/NBP/2026,2026-01-07,2026-01-05,CHF,frank szwajcarski,,4.4862,4.5768
C,003/C/NBP/2026,2026-01-07,2026-01-05,CZK,korona czeska,,0.1724,0.1758
C,003/C/NBP/2026,2026-01-07,2026-01-05,DKK,korona duńska,,0.5581,0.5693
C,003/C/NBP/2026,2026-01-07,2026-01-05,EUR,euro,,4.1681,4.2523
C,003/C/NBP/2026,2026-01-07,2026-01-05,GBP,funt szterling,,4.8053,4.9023
C,003/C/NBP/2026,2026-01-07,2026-01-05,HUF,forint (Węgry),,0.010855,0.011075
C,003/C/NBP/2026,2026-01-07,2026-01-05,JPY,jen (Japonia),,0.022756,0.023216
C,003/C/NBP/2026,2026-01-07,2026-01-05,NOK,korona norweska,,0.3538,0.361
C,003/C/NBP/2026,2026-01-07,2026-01-05,SEK,korona szwedzka,,0.3863,0.3941
C,003/C/NBP/2026,2026-01-07,2026-01-05,USD,dolar amerykański,,3.5665,3.6385
C,003/C/NBP/2026,2026-01-07,2026-01-05,XDR,SDR (MFW),,4.9004,4.9994
A,004/A/NBP/2026,2026-01-08,,AUD,dolar australijski,2.4142,,
A,004/A/NBP/2026,2026-01-08,,BRL,real (Brazylia),0.6698,,
A,004/A/NBP/2026,2026-01-08,,CAD,dolar kanadyjski,2.5993,,
A,004/A/NBP/2026,2026-01-08,,CHF,frank szwajcarski,4.5228,,
A,004/A/NBP/2026,2026-01-08,,CLP,peso chilijskie,0.004028,,
A,004/A/NBP/2026,2026-01-08,,CNY,yuan renminbi (Chiny),0.5166,,
A,004/A/NBP/2026,2026-01-08,,CZK,korona czeska,0.1735,,
A,004/A/NBP/2026,2026-01-08,,DKK,korona duńska,0.5636,,
A,004/A/NBP/2026,2026-01-08,,EUR,euro,4.2119,,
A,004/A/NBP/2026,2026-01-08,,GBP,funt szterling,4.8471,,
A,004/A/NBP/2026,2026-01-08,,HKD,dolar Hongkongu,0.4629,,
A,004/A/NBP/2026,2026-01-08,,HUF,forint (Węgry),0.010944,,
A,004/A/NBP/2026,2026-01-08,,IDR,rupia indonezyjska,0.00021483,,
A,004/A/NBP/2026,2026-01-08,,ILS,nowy izraelski szekel,1.1358,,
A,004/A/NBP/2026,2026-01-08,,INR,rupia indyjska,0.040068,,
A,004/A/NBP/2026,2026-01-08,,ISK,korona islandzka,0.028613,,
A,004/A/NBP/2026,2026-01-08,,JPY,jen (Japonia),0.023011,,
A,004/A/NBP/2026,2026-01-08,,KRW,won południowokoreański,0.002484,,
A,004/A/NBP/2026,2026-01-08,,MXN,peso meksykańskie,0.2007,,
A,004/A/NBP/2026,2026-01-08,,MYR,ringgit (Malezja),0.8879,,
A,004/A/NBP/2026,2026-01-08,,NOK,korona norweska,0.3563,,
A,004/A/NBP/2026,2026-01-08,,NZD,dolar nowozelandzki,2.0721,,
A,004/A/NBP/2026,2026-01-08,,PHP,peso filipińskie,0.0609,,
A,004/A/NBP/2026,2026-01-08,,RON,lej rumuński,0.828,,
A,004/A/NBP/2026,2026-01-08,,SEK,korona szwedzka,0.3912,,
A,004/A/NBP/2026,2026-01-08,,SGD,dolar singapurski,2.809,,
A,004/A/NBP/2026,2026-01-08,,THB,bat (Tajlandia),0.1144,,
A,004/A/NBP/2026,2026-01-08,,TRY,lira turecka,0.0836,,
A,004/A/NBP/2026,2026-01-08,,UAH,hrywna (Ukraina),0.0838,,
A,004/A/NBP/2026,2026-01-08,,USD,dolar amerykański,3.607,,
A,004/A/NBP/2026,2026-01-08,,XDR,SDR (MFW),4.9519,,
A,004/A/NBP/2026,2026-01-08,,ZAR,rand (Republika Południowej Afryki),0.2186,,
C,004/C/NBP/2026,2026-01-08,2026-01-07,AUD,dolar australijski,,2.4026,2.4512
C,004/C/NBP/2026,2026-01-08,2026-01-07,CAD,dolar kanadyjski,,2.5818,2.634
C,004/C/NBP/2026,2026-01-08,2026-01-07,CHF,frank szwajcarski,,4.481,4.5716
C,004/C/NBP/2026,2026-01-08,2026-01-07,CZK,korona czeska,,0.1718,0.1752
C,004/C/NBP/2026,2026-01-08,2026-01-07,DKK,korona duńska,,0.5579,0.5691
C,004/C/NBP/2026,2026-01-08,2026-01-07,EUR,euro,,4.1687,4.2529
C,004/C/NBP/2026,2026-01-08,2026-01-07,GBP,funt szterling,,4.8121,4.9093
C,004/C/NBP/2026,2026-01-08,2026-01-07,HUF,forint (Węgry),,0.01083,0.011048
C,004/C/NBP/2026,2026-01-08,2026-01-07,JPY,jen (Japonia),,0.022785,0.023245
C,004/C/NBP/2026,2026-01-08,2026-01-07,NOK,korona norweska,,0.3542,0.3614
C,004/C/NBP/2026,2026-01-08,2026-01-07,SEK,korona szwedzka,,0.3884,0.3962
C,004/C/NBP/2026,2026-01-08,2026-01-07,USD,dolar amerykański,,3.5639,3.6359
C,004/C/NBP/2026,2026-01-08,2026-01-07,XDR,SDR (MFW),,4.9011,5.0001
A,005/A/NBP/2026,2026-01-09,,AUD,dolar australijski,2.4175,,
A,005/A/NBP/2026,2026-01-09,,BRL,real (Brazylia),0.6716,,
A,005/A/NBP/2026,2026-01-09,,CAD,dolar kanadyjski,2.6081,,
A,005/A/NBP/2026,2026-01-09,,CHF,frank szwajcarski,4.5222,,
A,005/A/NBP/2026,2026-01-09,,CLP,peso chilijskie,0.004033,,
A,005/A/NBP/2026,2026-01-09,,CNY,yuan renminbi (Chiny),0.5182,,
A,005/A/NBP/2026,2026-01-09,,CZK,korona czeska,0.1732,,
A,005/A/NBP/2026,2026-01-09,,DKK,korona duńska,0.5638,,
A,005/A/NBP/2026,2026-01-09,,EUR,euro,4.2127,,
A,005/A/NBP/2026,2026-01-09,,GBP,funt szterling,4.8525,,
A,005/A/NBP/2026,2026-01-09,,HKD,dolar Hongkongu,0.4642,,
A,005/A/NBP/2026,2026-01-09,,HUF,forint (Węgry),0.010917,,
A,005/A/NBP/2026,2026-01-09,,IDR,rupia indonezyjska,0.00021538,,
A,005/A/NBP/2026,2026-01-09,,ILS,nowy izraelski szekel,1.1421,,
A,005/A/NBP/2026,2026-01-09,,INR,rupia indyjska,0.040129,,
A,005/A/NBP/2026,2026-01-09,,ISK,korona islandzka,0.02858,,
A,005/A/NBP/2026,2026-01-09,,JPY,jen (Japonia),0.022942,,
A,005/A/NBP/2026,2026-01-09,,KRW,won południowokoreański,0.002482,,
A,005/A/NBP/2026,2026-01-09,,MXN,peso meksykańskie,0.2009,,
A,005/A/NBP/2026,2026-01-09,,MYR,ringgit (Malezja),0.8883,,
A,005/A/NBP/2026,2026-01-09,,NOK,korona norweska,0.3585,,
A,005/A/NBP/2026,2026-01-09,,NZD,dolar nowozelandzki,2.0728,,
A,005/A/NBP/2026,2026-01-09,,PHP,peso filipińskie,0.0611,,
A,005/A/NBP/2026,2026-01-09,,RON,lej rumuński,0.828,,
A,005/A/NBP/2026,2026-01-09,,SEK,korona szwedzka,0.3921,,
A,005/A/NBP/2026,2026-01-09,,SGD,dolar singapurski,2.8119,,
A,005/A/NBP/2026,2026-01-09,,THB,bat (Tajlandia),0.1151,,
A,005/A/NBP/2026,2026-01-09,,TRY,lira turecka,0.0838,,
A,005/A/NBP/2026,2026-01-09,,UAH,hrywna (Ukraina),0.084,,
A,005/A/NBP/2026,2026-01-09,,USD,dolar amerykański,3.6184,,
A,005/A/NBP/2026,2026-01-09,,XDR,SDR (MFW),4.9528,,
A,005/A/NBP/2026,2026-01-09,,ZAR,rand (Republika Południowej Afryki),0.2185,,
C,005/C/NBP/2026,2026-01-09,2026-01-08,AUD,dolar australijski,,2.3925,2.4409
C,005/C/NBP/2026,2026-01-09,2026-01-08,CAD,dolar kanadyjski,,2.5804,2.6326
